1.2.3.9 ;Verkstjóri vélaverkstæðis (aðallega við stjórnun)
1.2.3.9 ;Yfirmaður fasteigna og/eða framkvæmda
1.2.3.9 ;Æfingastjóri
1.2.3.9 ;Öryggisstjóri ríkisins
1.2.3.9 ;Yfirmaður í eignaumsýslu
1.2.3.9 ;Yfirmenn annarra deilda ót.a.s.
1.3.1.1 ;Framkvæmdastjóri í fiskveiðum (færri en 10 starfsmenn)
1.3.1.1 ;Framkvæmdastjóri í landbúnaði (færri en 10 starfsmenn)
1.3.1.1 ;Framkvæmdastjóri í skógrækt (færri en 10 starfsmenn)
1.3.1.1 ;Framkvæmdastjóri í útgerð (færri en 10 starfsmenn)
1.3.1.1 ;Staðarhaldari í landabúnaði (færri en 10 starfsmenn)
1.3.1.1 ;Framkvæmdastjórar í lítilla fyrirtækja í landbúnaði, skógrækt, veiðum og fiskveiðum (færri en 10 starfsmenn)
1.3.1.1 ;Framkvæmdastjórar lítilla fyrirtækja í landbúnaði, skógrækt, veiðum og fiskveiðum (færri en 10 starfsmenn)
1.3.1.2 ;Framkvæmdastjórar iðnfyrirtækja (færri en 10 starfsmenn)
1.3.1.2 ;Framkvæmdastjóri í frystihúsi (færri en 10 starfsmenn)
1.3.1.2 ;Framkvæmdastjóri í iðnaði (færri en 10 starfsmenn)
1.3.1.2 ;Frystihússtjóri (færri en 10 starfsmenn)
1.3.1.2 ;Prentsmiðjustjóri (færri en 10 starfsmenn)
1.3.1.2 ;Rafveitustjóri (færri en 10 starfsmenn)
1.3.1.2 ;Framkvæmdastjórar í iðnfyrirtækjum (færri en 10 starfsmenn)
1.3.1.3 ;Framkvæmdastjóri í byggingariðnaði (færri en 10 starfsmenn)
1.3.1.3 ;Framkvæmdastjóri smáfyrirtækis í byggingariðnaði (færri en 10 starfsmenn)
1.3.1.3 ;Framkvæmdastjóri verktakafyrirtækis (færri en 10 starfsmenn)
1.3.1.3 ;Framkvæmdastjórar í byggingariðnaði og mannvirkjagerð (færri en 10 starfsmenn)
1.3.1.3 ;Framkvæmdastjórar í byggingariðnaði og mannvirkjagerð (færri en 10 starfsmenn)
1.3.1.4 ;Framkvæmdastjórar í heildsölu- og smásölu (færri en 10 starfsmenn)
1.3.1.4 ;Framkvæmdastjóri fiskmarkaðar (færri en 10 starfsmenn)
1.3.1.4 ;Framkvæmdastjóri í heildsölu (færri en 10 starfsmenn)
1.3.1.4 ;Framkvæmdastjóri í smásölu (færri en 10 starfsmenn)
1.3.1.4 ;Framkvæmdastjórar í heildsölu- og smásölu (færri en 10 starfsmenn)
1.3.1.5 ;Framkvæmdastjóri í veitingahúsarekstri (færri en 10 starfsmenn)
1.3.1.5 ;Framkvæmdastjóri veitingastaðar (færri en 10 starfsmenn)
1.3.1.5 ;Gistihússtjóri (færri en 10 starfsmenn)
1.3.1.5 ;Hótelstjóri (færri en 10 starfsmenn)
1.3.1.5 ;Veitingahússtjóri (færri en 10 starfsmenn)
1.3.1.5 ;Framkvæmdastjórar í hótel- eða veitingahúsarekstri (færri en 10 starfsmenn)
1.3.1.5 ;Framkvæmdastjórar í hótel- eða veitingahúsarekstri (færri en 10 starfsmenn)
1.3.1.6 ;Framkvæmdastjórar í samskiptum, samgöngum og vöruflutningum (færri en 10 starfsmenn)
1.3.1.6 ;Flugvallarstjóri (færri en 10 starfsmenn)
1.3.1.6 ;Framkvæmdastjóri í fjarskiptarekstri (færri en 10 starfsmenn)
1.3.1.6 ;Framkvæmdastjóri í flutningarekstri (færri en 10 starfsmenn)
1.3.1.6 ;Framkvæmdastjóri við rekstur vörugeymslu (færri en 10 starfsmenn)
1.3.1.6 ;Framkvæmdastjóri vörugeymslufyrirtækis (færri en 10 starfsmenn)
1.3.1.6 ;Hafnarstjóri (færri en 10 starfsmenn)
1.3.1.6 ;Vallarstjóri flugvallar (færri en 10 starfsmenn)
1.3.1.6 ;Framkvæmdastjórar í samskiptum, samgöngum og vöruflutningum (færri en 10 starfsmenn)
1.3.1.7 ;Framkvæmdastjóri í tryggingarekstri (færri en 10 starfsmenn)
1.3.1.7 ;Framkvæmdastjóri þjónustufyrirtækis (færri en 10 starfsmenn)
1.3.1.7 ;Sparisjóðsstjóri (færri en 10 starfsmenn)
1.3.1.7 ;Framkvæmdastjórar í þjónustufyrirtækjum (færri en 10 starfsmenn)
1.3.1.7 ;Framkvæmdastjórar þjónustufyrirtækja (færri en 10 starfsmenn)
1.3.1.8 ;Framkvæmdastjórar fyrirtækja í heimilisþjónustu, ræstingum og skyldum rekstri (færri en 10 starfsmenn)
1.3.1.8 ;Framkvæmdastjóri heimilisþjónustu (færri en 10 starfsmenn)
1.3.1.8 ;Framkvæmdastjóri í ræstingarrekstri (færri en 10 starfsmenn)
1.3.1.8 ;Framkvæmdastjóri sorphreinsunarstöðvar (færri en 10 starfsmenn)
1.3.1.8 ;Framkvæmdastjórar fyrirtækja í heimilisþjónustu, ræstingum og skyldum rekstri (færri en 10 starfsmenn)
1.3.1.9 ;Bókasafnsstjóri (færri en 10 starfsmenn)
1.3.1.9 ;Bókaútgefandi (færri en starfsmenn)
1.3.1.9 ;Forstöðumaður safns (færri en 10 starfsmenn)
1.3.1.9 ;Forstöðumaður stofnunar (færri en 10 starfsmenn)
1.3.1.9 ;Framkvæmdastjóri happdrættis (færri en 10 starfsmenn)
